"x_velocity","arc_length","Points:0","Points:1","Points:2"
0,0,0.55212,0,-0.325
0,0.00082499,0.55212,0,-0.32418
0,0.00165,0.55212,0,-0.32335
0,0.002475,0.55212,0,-0.32252
0,0.0033,0.55212,0,-0.3217
0,0.004125,0.55212,0,-0.32087
0,0.00495,0.55212,0,-0.32005
2.0802,0.005775,0.55212,0,-0.31923
0,0.0066,0.55212,0,-0.3184
0,0.007425,0.55212,0,-0.31758
0,0.00825,0.55212,0,-0.31675
0,0.009075,0.55212,0,-0.31593
22,0.0099,0.55212,0,-0.3151
0,0.010725,0.55212,0,-0.31427
0,0.01155,0.55212,0,-0.31345
0,0.012375,0.55212,0,-0.31262
0,0.0132,0.55212,0,-0.3118
0,0.014025,0.55212,0,-0.31097
0,0.01485,0.55212,0,-0.31015
0,0.015675,0.55212,0,-0.30933
0,0.0165,0.55212,0,-0.3085
3.6474,0.017325,0.55212,0,-0.30768
3.6327,0.01815,0.55212,0,-0.30685
3.6384,0.018975,0.55212,0,-0.30602
0,0.0198,0.55212,0,-0.3052
0,0.020625,0.55212,0,-0.30437
0,0.02145,0.55212,0,-0.30355
0,0.022275,0.55212,0,-0.30272
0,0.0231,0.55212,0,-0.3019
0,0.023925,0.55212,0,-0.30108
0,0.02475,0.55212,0,-0.30025
0,0.025575,0.55212,0,-0.29943
0,0.0264,0.55212,0,-0.2986
0,0.027225,0.55212,0,-0.29778
0,0.02805,0.55212,0,-0.29695
0,0.028875,0.55212,0,-0.29612
0,0.0297,0.55212,0,-0.2953
3.9513,0.030525,0.55212,0,-0.29447
3.9582,0.03135,0.55212,0,-0.29365
0,0.032175,0.55212,0,-0.29283
0,0.033,0.55212,0,-0.292
0,0.033825,0.55212,0,-0.29118
0,0.03465,0.55212,0,-0.29035
0,0.035475,0.55212,0,-0.28953
4.2489,0.0363,0.55212,0,-0.2887
4.2595,0.037125,0.55212,0,-0.28787
4.2974,0.03795,0.55212,0,-0.28705
4.3352,0.038775,0.55212,0,-0.28622
4.3731,0.0396,0.55212,0,-0.2854
4.411,0.040425,0.55212,0,-0.28457
4.4488,0.04125,0.55212,0,-0.28375
4.4867,0.042075,0.55212,0,-0.28293
4.5245,0.0429,0.55212,0,-0.2821
4.5624,0.043725,0.55212,0,-0.28128
